
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
402,Marquise Goodwin,BUF,24,7,0,7,1,42,42.0,0,42,0.1,6.0,1
403,DuJuan Harris,GNB,26,12,0,2,1,11,11.0,0,11,0.1,0.9,0
404,Shaun Hill,STL,34,5,4,1,1,0,0.0,0,0,0.2,0.0,4
405,Mike James,TAM,23,9,0,1,1,-5,-5.0,0,-5,0.1,-0.6,0
406,Marcel Jensen,JAX,24,1,0,1,1,8,8.0,0,8,1.0,8.0,0
407,David Johnson,SDG,27,2,2,,1,4,4.0,0,4,0.5,2.0,0
408,Storm Johnson,JAX,22,3,1,1,1,-4,-4.0,0,-4,0.3,-1.3,0
409,Jorvorskie Lane,TAM,27,9,4,1,1,3,3.0,0,3,0.1,0.3,0
410,Cody Latimer,DEN,22,6,0,2,1,9,9.0,0,9,0.2,1.5,0
411,Brian Leonard,NOR,30,1,0,1,1,15,15.0,0,15,1.0,15.0,0
412,Christine Michael,SEA,24,6,0,1,1,12,12.0,0,12,0.2,2.0,0
413,Knowshon Moreno,MIA,27,3,0,1,1,8,8.0,0,8,0.3,2.7,0
414,Michael Palmer,PIT,26,12,0,1,1,1,1.0,1,1,0.1,0.1,0
415,Bear Pascoe,ATL,28,12,1,1,1,1,1.0,1,1,0.1,0.1,0
416,Senorise Perry,CHI,23,13,0,1,1,-1,-1.0,0,0,0.1,-0.1,0
417,John Phillips,SDG,27,12,0,1,1,1,1.0,1,1,0.1,0.1,0
418,Jay Prosch,HOU,22,12,3,3,1,24,24.0,0,24,0.1,2.0,0
419,Aldrick Robinson,WAS,26,2,2,,1,6,6.0,0,6,0.5,3.0,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
420,Courtney Roby,ATL,31,4,0,2,1,11,11.0,0,11,0.3,2.8,0
421,Brian Schwenke,TEN,23,11,11,1,1,6,6.0,0,6,0.1,0.5,1
422,Brad Smith,PHI,31,9,0,3,1,11,11.0,0,11,0.1,1.2,0
423,Matt Spaeth,PIT,31,12,6,1,1,33,33.0,1,33,0.1,2.8,0
424,Micheal Spurlock,CHI,31,1,0,3,1,8,8.0,0,8,1.0,8.0,0
425,Ryan Tannehill,MIA,26,12,12,1,1,-4,-4.0,0,0,0.1,-0.3,6
426,Brian Tyms,NWE,25,7,1,4,1,43,43.0,1,43,0.1,6.1,0
427,Joe Webb,CAR,28,4,0,3,1,16,16.0,0,16,0.3,4.0,0
428,Damian Williams,2TM,26,14,0,13,1,14,14.0,0,14,0.1,1.0,0
429,Russell Wilson,SEA,26,12,12,1,1,17,17.0,0,17,0.1,1.4,9
